o1	o2	o3	o4	o5	agegroup	training	noise
4.49004741292	3.31764550076	2.71496537238	1.30752917379	0.38467704198	0	1	1
4.9089544336	5.19028877665	4.75819545241	4.85265536555	4.92980221208	0	1	0
4.50927240128	3.48636456113	2.40736462102	0.242642543352	-1.00958164773	0	1	1
4.91459733173	5.19413260137	4.95208707279	4.68336087074	4.71945309685	0	1	0
4.95560325902	5.11833806695	5.38760355303	4.55762873776	4.44268477484	0	1	0
4.92573789321	3.79955327366	2.99967285386	1.57488355884	0.920911381929	0	1	0
5.11978692193	4.64021897717	4.24962739057	3.68567274545	3.56191176048	0	1	1
5.01665693805	5.09435357152	6.00672198204	5.77019570038	6.29143752427	0	1	0
4.81996678066	4.54427370512	4.03928695928	4.13081491757	3.71306606518	0	1	1
4.45907434364	3.55963683732	2.31138403001	1.5440805146	0.663784480222	0	1	0
5.27742400614	5.0926643915	4.80460734779	4.6167852701	4.97881563352	0	1	0
4.97762633082	5.38161236928	4.90684049474	4.80632039267	4.66969019307	0	1	1
4.68313833084	3.86627319903	3.1583185366	2.64560434069	2.11670475457	0	1	0
4.68166519275	5.36676570721	5.29558286047	6.21408425992	6.72943888905	0	1	0
5.26432965127	5.68021782648	6.9749261475	8.18541526839	9.3281050579	0	1	1
5.49635588349	6.12953791681	6.91054743154	7.57262378319	7.77936611436	0	1	1
4.57906796707	2.59573189939	1.00861568626	-0.949800814696	-2.06948888584	0	1	0
4.60546623271	5.27621757994	4.83696185914	4.59799417359	4.08985415734	0	1	0
5.1076437985	4.11989789795	3.02127340459	2.22074094193	1.01517616903	0	1	0
4.75501763807	4.909893149	5.16864896372	4.99521732719	5.55121898632	0	1	1
4.89661359745	4.91707604391	4.65159252577	4.43883919347	4.38547322334	0	1	1
4.93552750592	3.99710432514	3.6571031255	3.47814608431	2.90339630686	0	1	0
5.69171478731	4.34963520543	3.21234541141	2.07798813918	1.27004567267	0	1	1
5.15042205537	3.96744542105	3.96497454898	3.3104833513	2.93276400322	0	1	0
5.77974056909	5.40252371411	5.60425229502	5.34276032031	5.76566714347	0	1	1
4.72028118423	6.74387649876	8.28412859613	9.80213575021	10.3415700285	0	1	1
4.46967965855	4.8045264223	5.14225579769	5.56487871732	5.97107616968	0	1	0
5.4606355931	4.65990839655	4.35224058	4.48168810166	3.72578022524	0	1	0
5.43597171255	5.32125420712	5.80978053631	5.93174464582	6.35411389799	0	1	1
3.92136609957	4.32401005444	5.14444082009	5.37347778229	6.02805492918	0	1	1
5.37093842659	5.11119446027	4.71470527612	5.22795222249	4.63119416659	0	1	0
5.7858528749	5.65500466355	5.51726339425	6.21365170058	6.28185825014	0	1	1
4.81738406503	4.07792377985	2.55073660903	2.19937245458	0.777907466007	0	1	1
4.8698339746	6.10881475727	6.96510049579	8.08481578458	9.20187101797	0	1	1
4.98810756231	4.82060941576	4.15269530214	4.31820079666	3.6249973272	0	1	1
4.53765515216	5.52308035315	5.62271182036	7.1054834147	7.25992006829	0	1	1
5.30135131828	4.8029933889	4.9320744936	4.93296520281	4.10898047946	0	1	0
4.45308173297	4.85362934333	4.55292673835	4.93007713976	5.75650331497	0	1	0
4.81045874772	5.36510587392	5.36654854147	5.69973863283	6.25389170129	0	1	0
5.03833738943	3.83336238902	2.60246593149	1.21952345298	0.0070210692016	0	1	1
5.00072904116	4.32255117342	3.63847129107	2.67679344188	1.79753131275	0	1	1
5.55217705985	5.47412392556	5.01136237636	4.74145865944	4.94294822733	0	1	0
4.97639427266	5.75071223961	6.89560799557	7.76418158852	8.23081473281	0	1	0
4.75722385156	4.71450875631	4.50630462172	4.97843474631	5.16546827975	0	1	0
4.29118117202	4.51046094325	5.09656769838	5.56190339293	6.09859413677	0	1	0
4.79976259901	4.04746933249	3.2965718155	2.63682308614	2.00147882312	0	1	1
4.78706708149	6.05865109455	6.81129309119	8.06470619356	8.88604559209	0	1	1
5.1249810944	5.11106200899	4.51001690649	4.07434639646	4.18014500742	0	1	0
5.44918389226	4.21090881191	3.70035350257	2.88282830184	2.24218778051	0	1	0
4.68652136203	4.24848399022	3.94023704117	3.76961855159	3.2257412245	0	1	1
5.05474581892	6.24347325832	6.49595958421	6.89156978954	7.12243461835	0	1	1
5.09831916785	4.53954144745	4.62478751661	4.38891664535	4.17493759831	0	1	0
4.70223967383	3.46883570941	1.50947804311	0.233918373494	-1.72280860799	0	1	1
5.69254077294	5.39586519423	4.84672986941	4.34201326936	3.9340014297	0	1	1
5.16706600755	5.8483130138	5.91583762295	7.01201933637	7.60230431639	0	1	0
5.33972234088	2.57032326528	-0.219259177085	-2.98502813162	-5.60417524832	0	1	1
5.06878328678	4.15065237264	3.86799455714	2.98334562319	2.59074050362	0	1	0
5.20389025135	4.14442270254	3.6388519745	3.39381671676	2.86540603198	0	1	1
5.01642531159	4.6556207662	4.47713993849	3.53465542054	3.09709615698	0	1	0
5.47017138355	5.86840217698	6.24196624722	6.99553700592	6.96000374512	0	1	1
5.16179998491	5.69740370226	6.23143796164	6.77680276163	6.91184988397	0	1	1
5.08371576335	5.8207251028	6.0844317291	6.55979031101	7.00200045819	0	1	1
5.06386295627	4.18420839424	3.28932752427	2.15250299432	1.49527804884	0	1	0
4.60893676589	5.55224174383	6.05758557133	6.39169855873	6.76252706846	0	1	1
5.29391820625	6.19725140994	7.92895185851	9.45787638519	10.8546252146	0	1	1
4.59237412566	5.10787153756	5.82570745767	6.82133162675	7.12456580186	0	1	1
5.48516437893	5.86345425679	6.94956328296	7.26037950642	7.64684761867	0	1	0
4.36343248866	4.28961726343	3.38104226655	3.08790861477	2.64800613025	0	1	0
4.89771155174	5.48911713013	5.94240666922	6.81888136846	7.36896112568	0	1	0
4.98028898141	3.79742581061	1.97407728813	0.381503612324	-1.20321624894	0	1	0
4.57468745643	5.31500947539	6.24305636881	6.43237918748	7.17208913638	0	1	1
4.91662898309	5.76279420917	6.59722941731	6.94932790106	7.83472198547	0	1	1
4.69245143938	3.31034235784	2.90402312231	2.11319959399	1.0234456346	0	1	0
5.32721765476	2.74948317788	1.33013422787	-0.971199152209	-2.85773614707	0	1	0
5.53556008271	4.4334017018	4.44879183432	4.08639294487	3.80485165249	0	1	0
5.29408547201	5.36134989747	5.28712765627	4.8105617607	5.12558528316	0	1	1
5.82139882661	4.75945520823	4.55584469335	4.04149462119	3.24663581397	0	1	1
4.6183952552	5.05218516213	5.02860183018	5.30400866655	5.70075017541	0	1	1
4.59361415398	4.69106244864	5.41968302928	5.9480182753	6.32620932764	0	1	0
5.40910580767	5.05143063944	4.94183006306	4.85013686007	4.50132661021	0	1	1
4.95633866895	4.67492648355	5.11385748184	4.50326889708	4.60708559665	0	1	0
5.91247699253	4.13060091783	3.318168401	2.42744482981	1.2183449405	0	1	0
5.1773392089	5.48248855423	5.31873841587	6.03049446564	6.79152352848	0	1	0
